	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000040483.15|Xaf1	2.66534280538452	2.24084258883945	2.63065294778764	2.67695553367579
ENSMUSG00000040488.17|Ltbp4	5.01731751659373	5.11531863052861	3.90880553461391	3.86360849821831
ENSMUSG00000040502.5|March9	3.80300116343425	3.63424528911253	3.85847127257402	4.057978793981
ENSMUSG00000040506.16|Ambra1	5.71894444188983	5.69142660287329	5.56803424631767	5.49292372282138
ENSMUSG00000040511.14|Pvr	6.59874464599673	6.56815055317133	5.16425113469346	5.17277268883598
ENSMUSG00000040520.7|Manea	7.57202482551079	7.70207141468187	6.12263036523753	6.1700922280953
ENSMUSG00000040521.11|Tsfm	4.58715196836533	4.59930181157215	4.18101345774527	4.27115366315977
ENSMUSG00000040524.9|Zfp609	6.95640293866402	6.8455301275989	6.06817819421832	5.78941473104872
ENSMUSG00000040525.13|Cblc	4.3567957127122	4.14539173141843	5.67411045804823	5.80011635921955
ENSMUSG00000040532.14|Abhd11	4.39410498090722	4.130553399455	4.50131790889364	4.65883887324183
ENSMUSG00000040548.16|Tex2	5.75741660754925	5.70769453766948	5.81139469797926	5.7562024809679
ENSMUSG00000040549.16|Ckap5	7.54511665930385	7.53512405603225	7.05139318361791	6.85882424676428
ENSMUSG00000040550.17|Otud6b	5.78941473104872	5.74058844036065	5.50571360764822	5.31130615291583
ENSMUSG00000040552.8|C3ar1	0.814243349343678	0.702668562304092	-1.02366337484783	-1.87802453313056
ENSMUSG00000040557.14|Mettl27	2.84972381562038	2.74499927626955	3.41200382357149	3.38960598545442
ENSMUSG00000040560.10|Wdr7	5.17135440576754	5.11363550438607	4.77430884317105	4.58412352527755
ENSMUSG00000040562.12|Gstm2	3.57198163873866	3.45570768651647	6.10601444349756	6.15339216930389
ENSMUSG00000040563.13|Plppr2	4.07316604488438	4.33640540246797	4.87132738874345	5.03736764443607
ENSMUSG00000040565.8|Btaf1	6.97294552646721	7.0286981380011	5.56250683668358	5.31955906441926
ENSMUSG00000040570.14|Rundc3b	3.86054302467712	3.88857100330721	3.25328029728693	2.99690179588218
ENSMUSG00000040584.8|Abcb1a	6.55845621224026	6.55025506452188	5.74209406938393	5.70041915253932
ENSMUSG00000040586.8|Ofd1	4.5316260604715	4.5201976122614	3.86313641187513	3.82692741130217
ENSMUSG00000040591.18|1110051M20Rik	2.56896373396173	2.36043142728652	2.99690179588218	3.227773609692
ENSMUSG00000040592.11|Cd79b	-0.711198390337079	-1.67804331361953	1.07684676493072	0.738204327750092
ENSMUSG00000040594.19|Ranbp17	1.45879038327065	1.62424054823787	0.77287738974491	0.207580380521417
ENSMUSG00000040596.15|Pogk	4.73697472008367	4.88052628041785	0.438398298503766	0.418630405755966
ENSMUSG00000040599.13|Mis12	6.19640787525625	6.24271497513994	5.77358041054472	5.78334814510553
ENSMUSG00000040600.9|Eps8l3	6.67104874762529	6.46578306922498	7.52420968725396	7.51460053400906
ENSMUSG00000040605.7|Bace2	1.83761455709535	1.98384572904376	5.35679850746449	5.50022178213507
ENSMUSG00000040612.13|Ildr2	0.531397613841638	0.666225570146268	-0.732420614733707	-1.20823475855441
