	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B	SH1_4mM_A	SH1_4mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B	SH2_4mM_A	SH2_4mM_B
ENSMUSG00000055720.10|Ubl7	5.00222919336714	4.91498372556246	4.84841695460666	4.9174532174344	5.16739213777687	5.15199081637495	5.09235657882414	5.21628137260625	4.84694649719836	4.81853994868372	4.6334968152898	4.61222872526164
ENSMUSG00000055723.6|Rras2	6.88595177960358	7.00117635460006	6.77792881690438	6.71533155264912	5.51146790075902	5.5239608548011	5.2187853150351	5.26209131835152	6.20830165182809	6.17112933688915	6.47257457010496	6.52640220245424
ENSMUSG00000055725.11|Paqr3	3.03493723136846	3.15000097459354	3.09202761485105	3.30640552133837	0.869202272656914	1.23460220359351	0.846761920288612	1.07847462464362	2.5116255206774	2.72708867831017	2.7407641608962	2.63563173974854
ENSMUSG00000055730.16|Ces2a	-1.0317707350286	-0.485514091877044	0.0881968863019621	-0.372255927921715	2.54680152305952	2.48897773115178	2.04469436812758	2.13950313139338	1.26924472683473	1.78666799843055	1.09156128514315	1.2794604658715
ENSMUSG00000055737.12|Ghr	5.43578138982864	5.47786355996143	4.62788558034305	4.66805938974803	3.84597199348306	3.79013424658168	4.07910848374123	4.07910848374123	4.59881708460574	4.27668291638585	5.05937869908504	4.88592804476459
ENSMUSG00000055745.4|Rtl6	1.4869773098539	1.60570221342737	1.69623572854495	1.46453116725994	-1.01038073607423	-1.11134065014149	-1.17936068910917	-0.109727928546067	-0.360803802907713	-0.132750324090433	-0.21371561580472	-0.456792300210875
ENSMUSG00000055760.12|Gemin6	4.47428142089425	4.45039591969504	4.54474682958391	4.48856962294926	4.09555307618792	4.1293393120897	3.3336005204276	3.31924052435134	4.44945343509947	4.44525353212372	4.27271577802732	4.3533266117448
ENSMUSG00000055762.16|Eef1d	7.87831338209186	7.76686893952758	7.57622554039747	7.59702225008001	8.23398689709628	8.33804097623958	7.94823996643508	7.98785023985883	8.49745305434181	8.52559554713919	8.13620023658151	8.02349695529274
ENSMUSG00000055799.13|Tcf7l1	-0.813971732803865	-1.01038073607423	-0.62993688582595	0.0319394707495401	0.618375914327643	1.03209950937359	1.58225509425925	1.71009467168543	0.590912522666209	0.406247772272728	0.195164910766251	0.0259555108321006
ENSMUSG00000055805.15|Fmnl1	5.37089621812916	5.33466123755119	5.70767039157007	5.6517314206172	4.77609438967332	4.80887256812089	4.74664727658226	4.76968705051614	4.56744925313795	4.74710050080695	4.78115769031982	4.92736055845034
ENSMUSG00000055809.7|Dnaaf3	-1.97133623678838	-3.37429786629592	-1.04780662090516	-2.21472540824773	0.474232382857251	0.866339647257682	0.930461449460932	0.52755256540671	-0.813971732803865	-1.18938520858564	-1.62435633301335	-1.53519394452146
ENSMUSG00000055817.18|Mta3	5.86596194094252	5.87476997440556	5.83899496717575	5.84406950941718	5.85287055168022	5.91627160054698	5.8641481620658	6.00165608815513	5.4041281904104	5.41944281982275	5.28984556067514	5.19996136279606
ENSMUSG00000055835.10|Zfp1	3.70293469189715	3.53779059139418	4.06825879193591	3.85426616589375	3.62275437932919	3.80275672720897	4.2390471717891	4.1385134691911	3.59587957855031	3.66707641201969	3.98974111473684	4.0269471090158
ENSMUSG00000055839.6|Elob	7.45017575653852	7.21266911254864	7.32005045588748	7.3040850411047	7.31956980509043	7.52629284760451	7.21365551378051	7.25602258585577	7.15689317235713	7.17114543989032	7.09237984178676	6.95863217363364
ENSMUSG00000055850.12|Rnf181	7.00458820789549	7.00833887075453	6.62854228765229	6.63712824193419	8.17791170542384	8.28795884372126	8.09012529984315	8.06300584726726	7.0436295215019	7.21920498807942	6.706072449342	6.74288826732231
ENSMUSG00000055862.7|Izumo4	1.76717880713624	2.29382857212979	1.72749552176846	1.50029978680505	3.30055924216105	3.57172529830431	3.54156233524793	3.52640415790041	1.97919916528056	2.03094544017595	1.03006175572988	1.59966128349424
ENSMUSG00000055866.9|Per2	5.09157219609351	5.2241843544572	5.7565902527681	5.70877747253327	5.45391699990006	5.53248305103918	5.00733966041779	5.27452571773504	5.56398041356805	5.47035903234844	5.43427089522881	5.55424821591179
ENSMUSG00000055884.8|Fancm	4.37783544693815	4.63293689998216	4.09954871394275	4.0544169800015	4.09984740918277	3.97684861307062	4.0179671722723	3.72025045968634	4.35898136350722	4.35637213986755	4.24054478382549	4.13324187219448
ENSMUSG00000055897.13|Ppp4r1l-ps	4.1960188245973	4.34696590397964	4.29766949424501	4.25073695489165	5.0023026802875	5.18733465618765	5.4488516559374	5.40677368412473	3.40640194487641	3.66012269020531	3.41305411176891	3.42835395948204
ENSMUSG00000055900.14|Tmem69	4.06781440986252	4.26453161296337	4.05040766976833	4.2316220802093	3.40640194487641	3.4005150133262	3.11721465781784	3.32269899099411	4.21791886808498	4.10800043689751	4.24813320202358	4.29384424483438
ENSMUSG00000055912.8|Tmem150a	5.5848596188709	5.54389554310532	5.47835921381654	5.64798848231014	4.9868565226506	5.13278882588715	5.13492658586444	5.54264473338059	5.53965231145054	5.4212931520077	5.79448205667715	5.75446753347634
