	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B
ENSMUSG00000063415.12|Cyp26b1	1.91812849068629	1.5234227857065	3.03377899076599	2.91283725626724
ENSMUSG00000063439.7|B9d2	2.79992225653695	2.63392696563021	3.13167828126337	2.9022996341023
ENSMUSG00000063445.14|Nmral1	2.22833109652622	1.75343823331825	2.03856761124334	2.33500612376437
ENSMUSG00000063450.14|Syne2	6.02011286834553	6.05532080991703	6.18750570589104	6.09796915613344
ENSMUSG00000063455.16|D630045J12Rik	4.29394839603592	4.1127045471991	3.92803365775259	4.04210440739628
ENSMUSG00000063457.14|Rps15	8.85160667361834	8.63938789864385	8.85647472061098	8.88019936240959
ENSMUSG00000063458.13|Lrmda	1.75343823331825	1.21215735012664	1.39264894814341	1.48271413004793
ENSMUSG00000063480.8|Snu13	7.25218574348866	7.27880424160224	7.15913297642151	7.17337541902332
ENSMUSG00000063488.6|Zkscan7	2.54128680998994	2.74953231820584	3.07190985720356	2.64319107173996
ENSMUSG00000063506.14|Arhgap22	5.39307974111192	5.37843741478019	4.91742674697507	4.88126037718364
ENSMUSG00000063511.11|Snrnp70	7.93161309775026	8.07238888553917	7.87444773788765	7.86800606736111
ENSMUSG00000063514.3|Gm6756	0.141989653256828	0.180936749365178	0.0753336284564237	-0.485313399690327
ENSMUSG00000063524.13|Eno1	10.3404974258248	10.1104443786408	10.5534582619349	10.5943444019616
ENSMUSG00000063531.7|Sema3e	8.2303585742722	8.2251624322365	8.05125174627528	8.08254557363269
ENSMUSG00000063550.8|Nup98	6.93540354158995	6.87580442724691	6.76170736524645	6.79478445388263
ENSMUSG00000063556.5|Gm10132	2.34638949672916	2.74953231820584	2.61088494565913	2.43899252347016
ENSMUSG00000063558.4|Aox1	3.72995479593859	3.76196351701708	3.06335824749326	3.15039247507434
ENSMUSG00000063576.12|Klhdc3	6.44300424610459	6.41999980293831	6.23059084784	6.30942496054761
ENSMUSG00000063586.1|Gm5513	1.41176741405481	1.23685386933293	1.35862542734956	1.1931413213315
ENSMUSG00000063605.5|Ccdc102a	3.78830167205975	3.90032524400519	3.39241248773147	3.44215975315873
ENSMUSG00000063628.2|Gm7665	0.348602950164909	0.436468128414765	0.230959017493788	-0.910559817435033
ENSMUSG00000063652.10|Slc22a21	0.456522327000359	0.548011911464284	0.714562515247715	0.714562515247715
ENSMUSG00000063659.11|Zbtb18	7.60661648671882	7.51192191314499	7.56623276059737	7.60609051509798
ENSMUSG00000063663.11|Brwd3	3.81621951568708	3.78191833376378	3.98011027929058	3.86521990571686
ENSMUSG00000063687.3|Pcdhb5	0.456522327000359	0.749302366585206	0.348602950164909	0.823870841297286
ENSMUSG00000063694.5|Cycs	7.88266172419992	7.82747151308989	7.96456633762659	7.97725873809299
ENSMUSG00000063696.7|Gm8730	6.33103309105043	6.1193408488879	6.5355413308205	6.54681780255902
ENSMUSG00000063698.9|Sfxn4	1.78916098968178	1.64689922864719	2.2188086170157	2.31515698060857
ENSMUSG00000063704.13|Mapk15	0.586943494598005	0.180936749365178	-0.610206152062954	-0.244572744521459
ENSMUSG00000063714.15|Sp3os	1.21215735012664	1.33070433532002	1.11639812507048	1.08953333568806
ENSMUSG00000063727.3|Tnfrsf11b	3.21545736118341	2.89845699499738	4.9351245245967	4.76724188257666
ENSMUSG00000063754.7|Gm10136	1.65656027927358	1.50321280562489	1.35862542734956	1.6005734602879
ENSMUSG00000063760.9|Rnf217	5.23388398304397	5.39514680227033	5.39994208763284	5.28870809902101
ENSMUSG00000063767.4|S100a7a	5.05543040449458	4.98876392468618	4.09434894858035	4.10194155596471
ENSMUSG00000063785.12|Utp14a	5.34414770425789	5.31531522052387	5.34751273804249	5.30286763877136
ENSMUSG00000063787.4|Chchd1	5.20891664090045	5.26293130047021	5.20188632282742	5.21387267225383
ENSMUSG00000063800.5|Prpf38a	4.47541867342175	4.33223648975976	4.43074089093792	4.39644508876961
ENSMUSG00000063801.7|Ap3s2	5.80153944674348	5.74014228156538	5.97856005704404	6.01073842842893
ENSMUSG00000063802.5|Hspbp1	4.28143707737392	4.2056442174304	4.22649828563529	4.32728267004657
ENSMUSG00000063808.14|Gpatch1	3.85728657369443	3.93732353688954	3.63148893182447	3.77675134965017
ENSMUSG00000063810.7|Alms1	4.29910689865216	4.1290003512871	3.9723910648248	3.96871360423737
ENSMUSG00000063838.6|Cdc42ep5	4.67911458330345	4.64915230431791	4.55134492543698	4.5036463450648
ENSMUSG00000063849.6|Ppcdc	5.12507080174873	4.99503272097298	5.31175459892376	5.30607572560453
ENSMUSG00000063851.12|Rnf183	0.624846772034779	0.393207563360472	0.714562515247715	0.799092678654616
ENSMUSG00000063856.7|Gpx1	7.69662413841575	7.78358681839717	7.54729041176523	7.56623276059737
ENSMUSG00000063870.12|Chd4	8.88898415967221	8.8669685847491	8.63281851702165	8.63075733387372
ENSMUSG00000063875.6|Rps6-ps1	2.51888082459998	2.73654279184291	2.5849473393984	2.39631438317496
ENSMUSG00000063882.12|Uqcrh	6.08220878233756	5.92932401273032	5.78900183161807	5.76008824973075
ENSMUSG00000063884.6|Ptcd3	7.14147236094645	7.18934910434631	7.19978113990722	7.17727687151846
ENSMUSG00000063888.7|Rpl7l1	7.81384001248303	7.75713862322173	7.93307493782536	7.9898607899093
ENSMUSG00000063889.16|Crem	2.57530273511966	2.74953231820584	2.7750371345742	2.78535752799895
ENSMUSG00000063894.15|Zkscan8	5.34751273804249	5.39061199373445	5.48640719673903	5.39307974111192
ENSMUSG00000063902.13|Gm7964	5.39025977323749	5.55137269358145	5.40894357487613	5.3885637623132
ENSMUSG00000063904.4|Dpp3	6.15233042992771	5.95389426330782	6.26176210934159	6.26020288842163
ENSMUSG00000063931.14|Pepd	4.77937968184679	4.64715160768235	4.721085299163	4.76724188257666
ENSMUSG00000063952.16|Brpf3	6.32697135001461	6.3172319499173	6.19316095625138	6.21884747310498
ENSMUSG00000063953.3|Amd2	1.8954466904403	1.82402663180557	1.50321280562489	1.73192844779056
ENSMUSG00000063972.13|Nr6a1	3.61175315251513	3.72995479593859	3.85728657369443	3.8007647379375
ENSMUSG00000063975.13|Slco1a5	1.04841415264039	0.0753336284564237	0.430456342389635	0.548011911464284
ENSMUSG00000064030.15|Pym1	3.65965954598457	3.42354018093499	3.51833320335183	3.65567279282401
ENSMUSG00000064037.13|Gpn1	5.21542529648832	5.17949094782323	4.97699131962671	5.00382308782551
ENSMUSG00000064043.13|Trerf1	4.90257823384531	4.76621147139503	4.97699131962671	4.89444492210045
ENSMUSG00000064061.13|Dzip3	5.55288218179878	5.75193029899001	5.80654557815939	5.73501868359784
ENSMUSG00000064068.14|Mtx1	4.83919854447026	4.59012770198784	4.75891974135946	4.71673335703846
ENSMUSG00000064080.12|Fbln2	8.85398146838379	8.74470895540262	7.56835077981553	7.77983783969431
ENSMUSG00000064090.14|Vrk2	2.67490206101132	2.51655388904342	2.64319107173996	2.66154182560817
ENSMUSG00000064105.13|Cnnm2	3.01249729998373	3.13500909241631	3.21617298466261	3.34229071182483
ENSMUSG00000064120.14|Mocs1	4.63350939731651	4.48092798807232	4.644273304391	4.75582769139752
ENSMUSG00000064127.13|Med14	6.00146560087388	6.0327216242947	6.14195789321536	6.04801670217748
ENSMUSG00000064128.8|Cenpj	3.4249063710542	3.31091650562458	3.20923858737553	3.13418563491196
ENSMUSG00000064138.14|Fam172a	3.58206744471673	3.8798431428692	3.40878985579219	3.51709801803426
ENSMUSG00000064145.12|Arih2	6.52198248793156	6.57328980482151	6.34281273137824	6.36964375162463
ENSMUSG00000064181.6|Rab3ip	4.72874708879217	4.85199294584467	4.82759381685611	4.75162868523243
ENSMUSG00000064193.8|Gm4735	4.92688660373139	4.7846569261848	5.47842196046606	5.50022587677377
ENSMUSG00000064208.6|Gm10145	0.0753336284564237	0.548011911464284	0.430456342389635	0.180936749365178
ENSMUSG00000064210.7|Ano6	7.71573816905225	7.71799741622539	7.80472230747795	7.86922536949884
ENSMUSG00000064215.13|Ifi27	4.74446436174063	4.69833512759939	4.89878583843206	4.88809268108376
ENSMUSG00000064231.1|Gm5321	0.714562515247715	1.4359426103637	1.24831562287764	0.586943494598005
ENSMUSG00000064246.10|Chil1	1.45951381600375	0.624846772034779	0.894704020407235	0.749302366585206
ENSMUSG00000064254.6|Ethe1	3.53948365963656	3.42890321475433	3.66982633531546	3.69721058947734
ENSMUSG00000064264.14|Zfp428	3.52897045333382	3.58631596732123	2.76658577022116	2.97428545074407
ENSMUSG00000064267.13|Hvcn1	0.0333376526722322	-0.26025668335845	0.230959017493788	0.290931967176263
ENSMUSG00000064281.7|Rpl19-ps1	2.75808436447127	2.87835361417089	3.07190985720356	2.56559291893017
ENSMUSG00000064284.12|Cdpf1	3.67713956946728	3.49681678707601	3.71259420759053	3.66310719885771
ENSMUSG00000064289.15|Tank	5.39430472478056	5.53882777982314	5.56772113467089	5.44439915314657
ENSMUSG00000064302.13|Clasp1	5.8360087817519	5.80102907906847	5.88098179719824	5.91410387590125
