symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000001383.9|Zmat2	1081	1216	956	1157
ENSMUSG00000001403.13|Ube2c	2181	2906	2400	2823
ENSMUSG00000001415.10|Smg5	3457	3723	3337	3634
ENSMUSG00000001416.13|Cct3	7856	8612	9043	9617
ENSMUSG00000001418.13|Glmp	3111	3139	2633	2958
ENSMUSG00000001419.17|Mef2d	3225	3381	3428	3462
ENSMUSG00000001420.13|Tmem79	89	98	48	37
ENSMUSG00000001424.14|Snd1	6604	6661	6674	6960
ENSMUSG00000001435.15|Col18a1	5506	5520	5689	6227
ENSMUSG00000001436.15|Slc19a1	809	824	1208	1248
ENSMUSG00000001440.5|Kpnb1	23628	26063	23453	24357
ENSMUSG00000001441.13|Npepps	3427	3828	4056	4594
ENSMUSG00000001445.10|Mrpl10	2058	2092	2117	2264
ENSMUSG00000001467.5|Cyp51	1709	2101	2755	3309
ENSMUSG00000001472.17|Tcf25	5700	6227	4741	5166
ENSMUSG00000001473.7|Tubb6	2547	2462	2122	2231
ENSMUSG00000001482.15|Def8	802	873	885	1024
ENSMUSG00000001497.18|Pax9	1979	2112	4454	5149
ENSMUSG00000001504.10|Irx2	64	78	3	2
ENSMUSG00000001507.16|Itga3	21536	22119	21191	22348
ENSMUSG00000001517.14|Foxm1	2978	3175	2703	2652
ENSMUSG00000001518.12|Itfg2	1152	1203	1504	1581
ENSMUSG00000001520.12|Nrip2	147	178	112	112
ENSMUSG00000001521.12|Tulp3	1264	1326	1119	1309
ENSMUSG00000001524.14|Gtf2h4	739	759	756	842
ENSMUSG00000001525.10|Tubb5	22589	23545	31108	34370
ENSMUSG00000001542.7|Ell2	988	1108	716	772
ENSMUSG00000001552.14|Jup	3095	3367	3560	4317
ENSMUSG00000001555.10|Fkbp10	2124	2232	1778	1899
ENSMUSG00000001569.10|Nom1	1244	1499	1337	1455
ENSMUSG00000001576.15|Ergic1	6281	6869	6809	7413
ENSMUSG00000001604.14|Tcea3	40	44	34	37
ENSMUSG00000001622.15|Csn3	698	749	335	332
ENSMUSG00000001627.12|Ifrd1	4248	5268	2872	2868
ENSMUSG00000001630.13|Stk38l	1142	1345	1314	1405
ENSMUSG00000001632.16|Brpf1	1432	1515	1770	1818
ENSMUSG00000001642.18|Akr1b3	3500	3576	3890	4392
ENSMUSG00000001663.10|Gstt1	606	635	809	988
ENSMUSG00000001665.11|Gstt3	334	398	516	599
ENSMUSG00000001666.8|Ddt	490	453	629	759
ENSMUSG00000001674.11|Ddx18	3692	4365	3898	3890
ENSMUSG00000001687.15|Ubl3	2281	2628	2082	2290
ENSMUSG00000001700.10|Gramd3	170	208	156	169
ENSMUSG00000001707.8|Eef1e1	1304	1468	1348	1363
ENSMUSG00000001729.14|Akt1	3695	3835	3860	4215
ENSMUSG00000001750.16|Tcirg1	870	882	870	1203
ENSMUSG00000001751.9|Naglu	736	811	758	966
ENSMUSG00000001755.12|Coasy	654	653	448	512
ENSMUSG00000001761.7|Smo	789	858	607	704
ENSMUSG00000001763.14|Tspan33	32	40	39	38
ENSMUSG00000001767.5|Crnkl1	886	1000	936	1009
ENSMUSG00000001768.16|Rin2	614	708	687	891
ENSMUSG00000001774.8|Chordc1	1919	2383	1997	2268
ENSMUSG00000001783.3|Rtcb	2790	2878	2853	3151
ENSMUSG00000001785.13|Pwp1	1724	1876	1794	1939
ENSMUSG00000001786.14|Fbxo7	237	267	187	191
ENSMUSG00000001794.13|Capns1	5016	4915	4774	5474
ENSMUSG00000001829.17|Clpb	922	1046	994	1032
ENSMUSG00000001833.17|Sept7	5166	6451	4091	4351
ENSMUSG00000001844.10|Zdhhc4	259	259	244	253
ENSMUSG00000001847.14|Rac1	8257	9184	8461	9114
ENSMUSG00000001855.15|Nup214	1753	1908	1474	1625
ENSMUSG00000001864.13|Aif1l	233	246	73	78
ENSMUSG00000001870.16|Ltbp1	3629	3831	4615	4748
ENSMUSG00000001891.16|Ugp2	1017	1353	1102	1264
ENSMUSG00000001909.16|Trmt1	2248	2317	1705	1866
ENSMUSG00000001910.4|Nacc1	3342	3139	2870	3226
ENSMUSG00000001911.16|Nfix	1154	1370	1123	1255
ENSMUSG00000001918.17|Slc1a5	4325	4808	4522	4885
ENSMUSG00000001924.15|Uba1	12550	12588	14544	14879
ENSMUSG00000001942.8|Siae	416	438	397	473
ENSMUSG00000001946.14|Esam	64	44	33	40
ENSMUSG00000001948.10|Spa17	33	30	55	80
ENSMUSG00000001962.8|Fam50a	757	787	716	736
ENSMUSG00000001964.14|Emd	1107	1270	1360	1401
ENSMUSG00000001983.7|Taco1	301	334	314	360
ENSMUSG00000001995.9|Sipa1l2	209	216	71	93
ENSMUSG00000001998.15|Ap4e1	602	695	530	529
ENSMUSG00000001999.15|Blvra	362	438	347	394
ENSMUSG00000002006.12|Pdzd4	33	29	26	27
ENSMUSG00000002010.17|Idh3g	1665	1646	1965	2140
ENSMUSG00000002014.12|Ssr4	1472	1615	1737	1762
