symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000036427.5|Gpi1	6067	6029	6779	7435
ENSMUSG00000036430.8|Tbcc	175	212	238	262
ENSMUSG00000036432.8|Siah2	937	1000	1065	1160
ENSMUSG00000036435.13|Exoc1	937	1122	946	1033
ENSMUSG00000036438.13|Calm2	13513	14203	14353	15609
ENSMUSG00000036442.8|Thap11	529	629	393	491
ENSMUSG00000036450.4|Hif1an	1975	2167	2160	2542
ENSMUSG00000036452.18|Arhgap26	294	326	565	589
ENSMUSG00000036459.15|Wtip	235	271	201	249
ENSMUSG00000036461.16|Elf1	1563	1822	1953	2168
ENSMUSG00000036473.16|Tbc1d24	778	796	576	665
ENSMUSG00000036478.8|Btg1	6519	8133	8986	9868
ENSMUSG00000036492.12|Rnf39	403	552	345	404
ENSMUSG00000036499.9|Eea1	4346	5055	4685	5120
ENSMUSG00000036501.7|Fam13b	3266	3913	3342	3613
ENSMUSG00000036503.13|Rnf13	2462	2912	2923	3232
ENSMUSG00000036504.6|Phpt1	731	695	935	1023
ENSMUSG00000036513.15|Commd2	820	910	828	927
ENSMUSG00000036528.15|Ppfibp2	40	39	38	49
ENSMUSG00000036529.17|Sbf1	3079	3134	3001	3640
ENSMUSG00000036533.9|Cdc42ep3	155	171	180	232
ENSMUSG00000036534.6|Slc38a7	1306	1396	1389	1776
ENSMUSG00000036537.6|Rnf113a1	69	72	83	103
ENSMUSG00000036550.16|Cnot1	7470	8170	7191	8172
ENSMUSG00000036552.18|Ermard	402	513	610	651
ENSMUSG00000036553.16|Sh3tc1	433	420	282	305
ENSMUSG00000036555.14|Iqce	291	308	317	345
ENSMUSG00000036561.8|Ppp6r2	533	568	653	742
ENSMUSG00000036564.17|Ndrg4	137	130	94	111
ENSMUSG00000036565.7|Ttyh3	509	521	373	460
ENSMUSG00000036568.7|Bicral	1466	1539	1823	1920
ENSMUSG00000036572.16|Upf3b	801	924	803	835
ENSMUSG00000036580.15|Spg20	1869	2123	1729	1958
ENSMUSG00000036585.16|Fgf1	412	520	576	574
ENSMUSG00000036591.16|Arhgap21	2374	2796	2675	2902
ENSMUSG00000036599.10|Chst12	242	254	280	343
ENSMUSG00000036606.17|Plxnb2	11546	11781	12890	15419
ENSMUSG00000036611.5|Eepd1	658	633	606	630
ENSMUSG00000036613.8|Eipr1	441	457	427	472
ENSMUSG00000036615.6|Rfxap	264	255	264	268
ENSMUSG00000036617.16|Etl4	1920	2016	2268	2382
ENSMUSG00000036620.14|Mgat4b	3229	3428	3065	3949
ENSMUSG00000036622.15|Atp13a2	363	421	318	386
ENSMUSG00000036632.9|Alg5	1088	1148	1362	1509
ENSMUSG00000036636.10|Clcn7	2377	2456	1760	2228
ENSMUSG00000036639.12|Nudt1	281	268	284	322
ENSMUSG00000036641.9|Ccdc148	71	65	104	92
ENSMUSG00000036644.15|Tbc1d9b	2066	2194	2539	2912
ENSMUSG00000036646.13|Man1b1	2006	2307	2132	2387
ENSMUSG00000036661.14|Dennd3	234	251	210	266
ENSMUSG00000036667.14|Tcaf1	172	219	182	213
ENSMUSG00000036672.5|Cenpt	507	632	528	569
ENSMUSG00000036676.14|Tmtc3	1442	1691	1561	1749
ENSMUSG00000036678.8|Aaas	1257	1291	1174	1320
ENSMUSG00000036686.16|Cc2d1a	752	786	591	697
ENSMUSG00000036693.12|Nop14	4560	5147	4784	5572
ENSMUSG00000036698.11|Ago2	6304	6771	5737	6270
ENSMUSG00000036707.16|Cab39	4922	5612	5131	5710
ENSMUSG00000036712.15|Cyld	2092	2689	1908	2100
ENSMUSG00000036718.17|Micall2	600	544	555	600
ENSMUSG00000036721.14|Zscan12	453	473	439	495
ENSMUSG00000036731.7|Cysrt1	26	26	12	11
ENSMUSG00000036733.16|Rbm42	832	1030	663	859
ENSMUSG00000036737.12|Oxsr1	2834	3143	2748	3103
ENSMUSG00000036745.15|Ttll7	2242	2707	2545	2651
ENSMUSG00000036748.16|Cuedc2	1453	1528	1278	1384
ENSMUSG00000036751.7|Cox6b1	1968	1861	1633	1827
ENSMUSG00000036752.4|Tubb4b	4287	4419	4470	4952
ENSMUSG00000036764.12|Dnajc12	48	57	61	42
ENSMUSG00000036768.6|Kif15	423	532	427	474
ENSMUSG00000036769.14|Wdr44	224	273	267	315
ENSMUSG00000036775.13|Decr2	715	727	728	771
ENSMUSG00000036777.8|Anln	5287	6209	5683	6213
ENSMUSG00000036779.12|Tent4b	1799	2073	1778	2047
ENSMUSG00000036781.13|Rps27l	1753	2058	1735	1810
ENSMUSG00000036792.12|Mbd5	592	641	539	601
ENSMUSG00000036805.13|Noxa1	233	230	357	321
ENSMUSG00000036810.16|Cnep1r1	2176	2577	2158	2342
ENSMUSG00000036817.14|Sun1	2255	2516	2489	2838
ENSMUSG00000036819.14|Jmjd4	423	455	427	468
ENSMUSG00000036820.12|Amdhd2	750	719	780	981
ENSMUSG00000036822.6|Topors	1420	1719	1547	1768
ENSMUSG00000036825.12|Ssx2ip	666	755	681	788
ENSMUSG00000036833.16|Pnpla7	426	472	369	454
ENSMUSG00000036834.16|Plch1	1850	2092	2250	2489
ENSMUSG00000036835.7|Psenen	959	980	1168	1379
ENSMUSG00000036840.5|Siah1a	451	531	540	577
ENSMUSG00000036845.12|Lin37	145	135	120	143
ENSMUSG00000036850.4|Mrpl41	223	226	205	260
ENSMUSG00000036854.14|Hspb6	339	345	419	479
ENSMUSG00000036856.4|Wnt4	106	104	187	201
ENSMUSG00000036860.14|Mrpl55	349	390	318	359
ENSMUSG00000036863.12|Syde2	73	99	106	115
ENSMUSG00000036864.16|Proser3	103	112	102	100
ENSMUSG00000036867.7|Smad6	74	123	100	114
ENSMUSG00000036873.13|2410004B18Rik	315	408	332	370
ENSMUSG00000036875.15|Dna2	121	151	105	120
ENSMUSG00000036879.15|Phkb	888	954	1043	1111
ENSMUSG00000036880.10|Acaa2	352	425	428	431
ENSMUSG00000036882.7|Arhgap33	42	50	69	68
ENSMUSG00000036890.13|Gtdc1	141	169	201	205
ENSMUSG00000036893.17|Ehmt1	1074	1165	1155	1274
ENSMUSG00000036894.3|Rap2b	1736	2101	1458	1607
ENSMUSG00000036898.16|Zfp157	484	569	533	524
ENSMUSG00000036902.11|Neto2	101	120	121	133
ENSMUSG00000036916.13|Zfp280c	856	960	894	970
ENSMUSG00000036918.16|Ttc7	735	797	863	985
ENSMUSG00000036931.15|Nfkbid	50	69	90	102
ENSMUSG00000036932.14|Aifm1	1444	1629	1389	1585
ENSMUSG00000036934.9|4921524J17Rik	403	437	439	429
ENSMUSG00000036938.17|Try5	23	29	29	36
ENSMUSG00000036940.15|Kdm1a	2753	3030	2917	3133
ENSMUSG00000036941.2|Elac1	213	219	321	300
ENSMUSG00000036943.9|Rab8b	482	598	629	607
ENSMUSG00000036944.6|Tmem71	93	117	66	78
ENSMUSG00000036948.17|BC037034	533	543	442	522
ENSMUSG00000036955.16|Kif1bp	448	453	423	455
ENSMUSG00000036957.8|Lrfn3	146	184	139	164
ENSMUSG00000036959.15|Bcorl1	925	934	913	969
ENSMUSG00000036966.15|Spryd3	1153	1225	1221	1432
ENSMUSG00000036968.15|Cnpy4	556	592	545	581
ENSMUSG00000036975.5|Tmem177	191	214	179	211
ENSMUSG00000036977.8|Anapc10	335	422	286	332
ENSMUSG00000036980.13|Taf6	1429	1313	1445	1622
ENSMUSG00000036983.7|Tfb1m	269	315	373	376
ENSMUSG00000036985.12|Zdhhc9	1123	1147	1130	1244
ENSMUSG00000036986.16|Pml	1060	1163	888	936
ENSMUSG00000036989.16|Trim3	664	659	489	567
ENSMUSG00000036990.13|Otud4	6533	7487	6023	6658
ENSMUSG00000036992.10|Nxt1	428	510	389	444
ENSMUSG00000037001.10|Zfp39	67	76	99	99
ENSMUSG00000037003.16|Tns2	650	587	521	574
ENSMUSG00000037007.17|Zfp113	644	726	650	750
ENSMUSG00000037010.7|Apln	34	67	30	56
ENSMUSG00000037012.18|Hk1	3597	3752	4274	4923
ENSMUSG00000037013.16|Ss18	1936	2087	2121	2369
ENSMUSG00000037017.15|Zscan21	433	479	515	532
ENSMUSG00000037020.16|Wdr62	339	340	287	317
ENSMUSG00000037022.3|Mmaa	130	155	168	210
ENSMUSG00000037025.11|Foxa2	921	1126	890	963
ENSMUSG00000037029.8|Zfp146	1695	1868	1652	1970
ENSMUSG00000037031.10|Tspan15	679	784	756	870
ENSMUSG00000037032.16|Apbb1	479	451	426	512
ENSMUSG00000037033.9|Clca3b	4449	4300	4498	4960
ENSMUSG00000037049.9|Smpd1	573	594	495	614
ENSMUSG00000037053.6|Azgp1	261	305	366	422
ENSMUSG00000037058.16|Paip2	3798	4525	3931	4355
ENSMUSG00000037060.3|Cavin3	145	176	155	170
ENSMUSG00000037062.13|Sh3glb1	7570	8888	8111	8805
ENSMUSG00000037070.10|Rbmxl1	1637	1843	1379	1736
ENSMUSG00000037071.3|Scd1	5499	6018	6610	7538
ENSMUSG00000037072.15|Selenof	7199	8810	7873	8528
ENSMUSG00000037075.7|Rnf139	1409	1660	1472	1700
ENSMUSG00000037085.8|Trmt12	367	366	358	424
ENSMUSG00000037089.11|Slc35b2	1400	1391	1510	1872
ENSMUSG00000037096.6|Gm9762	81	97	76	99
ENSMUSG00000037098.18|Rab11fip3	1978	2062	1834	2137
ENSMUSG00000037103.8|Dcaf15	833	900	801	883
ENSMUSG00000037104.9|Socs5	3644	4252	2467	2676
ENSMUSG00000037106.8|Fer1l6	1207	1365	1911	2095
ENSMUSG00000037108.13|Zcwpw1	981	1039	731	811
ENSMUSG00000037110.20|Ralgapa2	2369	2537	2751	3002
ENSMUSG00000037111.9|Setd7	3460	3792	4035	4544
ENSMUSG00000037112.16|Sik2	2054	2128	2530	2742
ENSMUSG00000037119.4|Fam91a1	8891	10213	8089	9047
ENSMUSG00000037126.16|Psd	50	67	60	76
ENSMUSG00000037134.17|Prmt9	316	373	342	352
ENSMUSG00000037139.15|Myom3	187	182	243	261
ENSMUSG00000037145.14|2210407C18Rik	358	483	815	780
ENSMUSG00000037148.8|Arhgap10	553	599	719	731
ENSMUSG00000037149.10|Ddx1	5385	6058	6058	7027
ENSMUSG00000037151.8|Lrrc20	454	475	479	555
ENSMUSG00000037152.11|Ndufc1	611	723	665	682
ENSMUSG00000037157.8|Il22ra1	1038	1014	1669	1792
ENSMUSG00000037169.15|Mycn	46	47	52	35
ENSMUSG00000037172.14|E330009J07Rik	1645	1966	2612	2722
ENSMUSG00000037174.18|Elf2	1888	2107	2192	2217
ENSMUSG00000037185.9|Krt80	963	1018	825	1039
ENSMUSG00000037190.12|Cyb561d2	130	156	176	195
ENSMUSG00000037196.6|Pacrg	200	219	130	156
ENSMUSG00000037197.11|Rbm17	3758	4118	3934	4035
ENSMUSG00000037204.7|Atg101	775	759	662	691
ENSMUSG00000037210.16|Fam193a	1275	1329	1276	1487
ENSMUSG00000037211.12|Spry1	788	879	1160	1175
ENSMUSG00000037214.12|Thap1	387	510	388	472
ENSMUSG00000037216.5|Lipt1	114	133	195	178
ENSMUSG00000037217.15|Syn1	118	143	152	154
ENSMUSG00000037221.13|Mospd3	170	160	142	166
ENSMUSG00000037234.17|Hook3	1317	1548	1571	1630
ENSMUSG00000037235.13|Mxd4	515	582	549	577
ENSMUSG00000037236.16|Matr3	5837	6929	6224	6560
ENSMUSG00000037239.8|Spred3	606	617	518	552
ENSMUSG00000037242.8|Clic4	7942	9265	9532	10831
ENSMUSG00000037243.17|Zfp692	290	337	381	431
ENSMUSG00000037251.5|Pomk	657	701	641	690
ENSMUSG00000037253.8|Mex3c	3378	4331	3459	3920
ENSMUSG00000037254.18|Itih2	1297	1408	1710	2028
ENSMUSG00000037257.8|Aagab	819	886	818	954
ENSMUSG00000037260.8|Hgsnat	887	953	895	1121
ENSMUSG00000037262.7|Kin	814	940	756	914
ENSMUSG00000037266.18|Rsrp1	4038	5120	3782	4154
ENSMUSG00000037270.18|4932438A13Rik	1489	1627	1770	1863
ENSMUSG00000037275.14|Gemin5	2354	2352	2616	2895
ENSMUSG00000037278.9|Tmem97	1218	1353	1400	1570
ENSMUSG00000037286.15|Stag1	2080	2587	2765	2883
ENSMUSG00000037287.15|Tbcel	1128	1302	1297	1435
ENSMUSG00000037295.7|Ldlrap1	845	924	879	939
ENSMUSG00000037296.7|Lsm1	793	999	747	822
ENSMUSG00000037300.19|Ttc13	2106	2364	1815	1990
ENSMUSG00000037306.13|Man1c1	39	45	48	59
ENSMUSG00000037313.16|Tacc3	1687	1941	1956	2134
ENSMUSG00000037315.15|Jade3	385	449	493	553
ENSMUSG00000037316.9|Bag4	787	902	719	753
ENSMUSG00000037321.17|Tap1	48	32	59	79
ENSMUSG00000037325.10|Bbs7	428	520	472	548
ENSMUSG00000037326.10|Capn15	743	825	680	802
ENSMUSG00000037331.15|Larp1	8080	8289	8338	9403
ENSMUSG00000037337.11|Map4k1	73	77	81	103
ENSMUSG00000037339.17|Fam53a	679	767	640	692
ENSMUSG00000037343.8|Taf2	2477	2755	2430	2645
ENSMUSG00000037344.14|Slc12a9	464	495	390	505
ENSMUSG00000037348.15|Paqr7	373	351	301	358
ENSMUSG00000037349.9|Nudt22	226	215	200	239
ENSMUSG00000037351.9|Actr1b	2969	3325	3030	3483
ENSMUSG00000037353.9|Letmd1	705	736	599	725
ENSMUSG00000037355.14|Uvssa	573	684	649	727
ENSMUSG00000037361.8|Sf3b6	1639	1876	1698	1897
ENSMUSG00000037362.8|Ccn3	96	109	49	61
ENSMUSG00000037363.9|Letm2	116	126	144	173
ENSMUSG00000037364.12|Srrt	2191	2381	2112	2425
ENSMUSG00000037366.14|Pafah2	751	887	797	864
ENSMUSG00000037369.17|Kdm6a	2565	2986	3359	3620
ENSMUSG00000037370.13|Enpp1	1334	1653	1990	2240
ENSMUSG00000037373.12|Ctbp1	3122	3349	3051	3537
ENSMUSG00000037376.14|Trmt6	1300	1508	1372	1597
ENSMUSG00000037379.7|Spon2	40	40	21	31
ENSMUSG00000037395.15|Rcor3	720	777	784	833
ENSMUSG00000037400.17|Atp11b	2270	2734	2850	3168
ENSMUSG00000037405.8|Icam1	3357	3183	5570	6140
ENSMUSG00000037408.10|Cnnm4	1613	1594	1665	2146
ENSMUSG00000037410.13|Tbc1d2b	948	935	803	875
ENSMUSG00000037411.10|Serpine1	857	840	954	1132
ENSMUSG00000037415.6|Ranbp10	960	1063	874	995
ENSMUSG00000037416.13|Dmxl1	1760	1944	1858	1868
ENSMUSG00000037419.9|Endod1	407	480	312	398
ENSMUSG00000037426.17|Depdc5	482	551	404	464
ENSMUSG00000037428.14|Vgf	24	34	117	130
ENSMUSG00000037434.7|Slc30a1	399	488	658	719
ENSMUSG00000037440.8|Vnn1	10299	10641	9483	10128
ENSMUSG00000037443.13|Cep85	891	1079	1133	1221
ENSMUSG00000037447.16|Arid5a	1302	1331	1597	1845
ENSMUSG00000037455.16|Slc18b1	56	79	48	61
ENSMUSG00000037458.15|Azin1	5392	6382	6347	7257
ENSMUSG00000037461.10|Ints7	934	1019	963	1141
ENSMUSG00000037465.10|Klf10	3632	3857	4323	4572
ENSMUSG00000037466.13|Tedc1	391	436	267	292
ENSMUSG00000037470.14|Uggt1	4548	5012	4764	5829
ENSMUSG00000037474.13|Dtl	1935	2116	1339	1542
ENSMUSG00000037475.15|Thoc2	2305	2662	2504	2749
ENSMUSG00000037486.18|Asxl2	1562	1839	1693	1847
ENSMUSG00000037487.7|Ubr5	12664	13807	11839	12889
ENSMUSG00000037499.9|Nenf	659	695	701	812
ENSMUSG00000037503.12|Fam168b	7663	8246	7220	8308
ENSMUSG00000037509.21|Arhgef4	82	81	61	68
ENSMUSG00000037514.17|Pank2	890	956	789	823
ENSMUSG00000037519.17|Ppfia1	2216	2387	2055	2402
ENSMUSG00000037523.13|Mavs	1029	976	876	963
ENSMUSG00000037525.5|Bcdin3d	299	350	352	436
ENSMUSG00000037526.7|Atg14	539	621	415	511
ENSMUSG00000037531.8|Mrpl47	556	699	711	756
ENSMUSG00000037533.19|Rapgef6	1904	2161	2366	2627
ENSMUSG00000037536.14|Fbxo34	889	952	1099	1199
ENSMUSG00000037544.14|Dlgap5	2171	2565	2371	2617
ENSMUSG00000037552.17|Plekhg2	541	560	392	439
ENSMUSG00000037553.14|Zdhhc18	744	775	716	836
ENSMUSG00000037563.15|Rps16	13299	12483	12567	14390
ENSMUSG00000037568.12|Vash2	262	254	208	239
ENSMUSG00000037570.16|Mcrs1	968	935	1131	1275
ENSMUSG00000037572.17|Wdhd1	1116	1250	797	945
ENSMUSG00000037573.5|Tob1	1350	1730	1327	1403
ENSMUSG00000037580.10|Gch1	1221	1462	1341	1440
ENSMUSG00000037594.11|Clba1	133	140	85	112
ENSMUSG00000037601.11|Nme1	3960	4075	4399	5297
ENSMUSG00000037605.16|Adgrl3	338	432	450	508
ENSMUSG00000037606.18|Osbpl5	433	504	345	382
ENSMUSG00000037608.16|Bclaf1	3424	4332	4148	4680
ENSMUSG00000037613.16|Tnfrsf23	1063	1133	745	1065
ENSMUSG00000037617.12|Spag1	162	209	175	222
ENSMUSG00000037621.8|Atoh8	35	54	34	53
ENSMUSG00000037622.14|Wdtc1	1272	1337	1250	1436
ENSMUSG00000037624.15|Kcnk2	45	39	73	62
ENSMUSG00000037628.10|Cdkn3	247	285	314	367
ENSMUSG00000037638.5|Zbtb42	248	193	227	245
ENSMUSG00000037640.15|Zfp60	317	391	295	322
ENSMUSG00000037643.14|Prkci	4146	4750	3878	4446
ENSMUSG00000037646.10|Vps13b	2029	2219	2531	2826
ENSMUSG00000037652.15|Phc3	1617	2094	1810	1904
ENSMUSG00000037656.9|Slc20a2	3543	4103	3361	3944
ENSMUSG00000037661.14|Gpr160	27	37	66	60
ENSMUSG00000037669.15|Ldah	1690	1768	1676	1881
ENSMUSG00000037674.15|Rfx7	1710	1959	1662	1719
ENSMUSG00000037679.9|Inf2	2301	2304	2205	2414
ENSMUSG00000037685.15|Atp8a1	245	318	410	465
ENSMUSG00000037692.14|Ahdc1	645	674	468	536
ENSMUSG00000037697.19|Ddhd1	527	684	678	754
ENSMUSG00000037703.14|Lzts3	334	334	233	283
ENSMUSG00000037706.17|Cd81	2997	3280	2643	3263
ENSMUSG00000037710.8|Cisd1	501	603	550	578
ENSMUSG00000037712.16|Fermt2	419	549	576	562
ENSMUSG00000037716.15|Ccdc33	26	32	59	48
ENSMUSG00000037720.16|Tmem33	1557	1796	1583	1942
ENSMUSG00000037722.8|Gnpnat1	1530	1851	1914	1997
ENSMUSG00000037725.8|Ckap2	724	848	789	856
ENSMUSG00000037730.13|Mynn	1273	1292	1209	1328
ENSMUSG00000037740.8|Mrps26	700	779	804	902
ENSMUSG00000037742.14|Eef1a1	218034	225870	230803	265978
ENSMUSG00000037750.16|Fam222b	590	661	536	591
ENSMUSG00000037752.4|Xkr8	123	145	92	139
ENSMUSG00000037761.16|Actr5	159	178	181	194
ENSMUSG00000037762.6|Slc16a9	39	46	37	48
ENSMUSG00000037772.13|Mrpl23	388	381	478	480
ENSMUSG00000037773.14|Pced1a	432	504	433	487
ENSMUSG00000037784.14|Dzip1l	1019	987	812	991
ENSMUSG00000037787.14|Apopt1	484	572	505	570
ENSMUSG00000037788.14|Vopp1	2235	2447	2270	2629
ENSMUSG00000037791.15|Phf12	2127	2260	2154	2352
ENSMUSG00000037795.14|N4bp2	964	1055	1111	1146
ENSMUSG00000037805.15|Rpl10a	20598	21084	24760	28219
ENSMUSG00000037808.13|Fam76b	726	832	873	894
ENSMUSG00000037813.13|D630003M21Rik	69	64	83	101
ENSMUSG00000037815.7|Ctnna1	18228	20222	18646	20774
ENSMUSG00000037816.10|Fbxw17	249	252	282	329
ENSMUSG00000037818.16|Abhd18	159	187	245	250
ENSMUSG00000037820.15|Tgm2	3544	3337	4870	5362
ENSMUSG00000037822.12|Smim14	2132	2489	2280	2456
ENSMUSG00000037824.6|Tspan14	951	928	955	1088
ENSMUSG00000037826.5|Ppm1k	603	717	705	792
ENSMUSG00000037845.14|Fdxacb1	133	128	158	156
ENSMUSG00000037846.18|Rtkn2	174	168	118	113
ENSMUSG00000037847.14|Nmrk1	103	118	90	119
ENSMUSG00000037851.13|Iars	9975	10966	12168	13887
ENSMUSG00000037852.8|Cpe	2337	2592	2428	2879
ENSMUSG00000037855.15|Zfp365	169	185	182	213
ENSMUSG00000037857.16|Nufip2	4689	5377	4232	4707
ENSMUSG00000037860.15|Aim2	887	1076	972	971
ENSMUSG00000037868.15|Egr2	59	57	27	52
ENSMUSG00000037876.17|Jmjd1c	2389	2822	2840	3262
ENSMUSG00000037885.18|Stk35	911	896	850	992
ENSMUSG00000037887.11|Dusp8	230	267	324	370
ENSMUSG00000037890.13|Wdr19	284	322	307	299
ENSMUSG00000037894.13|H2afz	14739	17318	16364	18368
ENSMUSG00000037896.17|Rcor1	2630	2908	2545	2880
ENSMUSG00000037904.14|Ankrd9	122	153	85	91
ENSMUSG00000037905.13|Bri3bp	1187	1390	993	1181
ENSMUSG00000037907.16|Ankrd13b	1375	1458	1256	1431
ENSMUSG00000037916.14|Ndufv1	2228	2176	2381	2647
ENSMUSG00000037921.15|Ddx60	39	44	50	79
ENSMUSG00000037926.15|Ssh2	1463	1560	1652	1782
ENSMUSG00000037933.16|Bicd2	2040	2380	1650	1945
ENSMUSG00000037935.16|Smarce1	3706	3887	3536	4192
ENSMUSG00000037936.15|Scarb1	490	499	496	584
ENSMUSG00000037938.4|Chchd5	459	407	639	726
ENSMUSG00000037940.17|Inpp4b	237	281	432	436
ENSMUSG00000037946.11|Fgd3	1156	1251	842	1022
ENSMUSG00000037949.8|Ano10	633	732	779	959
ENSMUSG00000037957.14|Wdr20	663	740	652	713
ENSMUSG00000037958.13|Nsrp1	1160	1302	1302	1436
ENSMUSG00000037960.11|Card19	839	869	669	756
ENSMUSG00000037965.14|Zc3h7a	2144	2511	2563	2778
ENSMUSG00000037966.15|Ninj1	806	758	780	809
ENSMUSG00000037971.10|1110032A03Rik	161	187	215	214
ENSMUSG00000037972.7|Snn	388	403	228	287
ENSMUSG00000037974.16|Muc5ac	33	38	33	13
ENSMUSG00000037979.13|Ccdc92	169	158	185	214
ENSMUSG00000037991.9|Rmi2	67	89	40	70
ENSMUSG00000037992.16|Rara	1478	1410	1276	1418
ENSMUSG00000037993.8|Dhx38	1375	1368	1233	1405
ENSMUSG00000037995.15|Igsf9	559	541	506	530
ENSMUSG00000037997.12|Parp11	329	348	326	404
ENSMUSG00000037999.13|Arap2	654	787	554	590
ENSMUSG00000038000.10|Acd	634	638	547	608
ENSMUSG00000038002.9|Cramp1l	1501	1650	1341	1543
ENSMUSG00000038005.15|Hpf1	842	999	719	755
ENSMUSG00000038007.14|Acer2	43	49	47	41
ENSMUSG00000038009.7|Dnajc22	894	870	1108	1267
ENSMUSG00000038010.9|Ccdc138	63	73	88	89
ENSMUSG00000038013.14|Wipf2	976	1134	972	1086
ENSMUSG00000038014.7|Fam120a	9909	11421	10504	11800
ENSMUSG00000038020.5|Rapgefl1	40	47	31	43
ENSMUSG00000038022.11|Mindy4	82	71	60	67
ENSMUSG00000038023.12|Atp6v0a2	1768	1954	1472	1773
ENSMUSG00000038024.17|Dennd4c	1933	2098	2043	2179
ENSMUSG00000038025.8|Phf2	1384	1488	1382	1645
ENSMUSG00000038028.9|Tigar	672	709	638	731
ENSMUSG00000038034.15|Igsf8	1316	1502	1398	1519
ENSMUSG00000038037.5|Socs1	36	47	26	39
ENSMUSG00000038039.13|Gcc2	1038	1217	1281	1219
ENSMUSG00000038042.10|Ptpdc1	290	285	298	301
ENSMUSG00000038046.4|Mrm3	401	448	371	428
ENSMUSG00000038047.18|Haus6	1799	2168	1647	1753
ENSMUSG00000038055.12|Dexi	114	105	82	96
ENSMUSG00000038056.15|Kmt2c	1347	1507	1630	1785
ENSMUSG00000038058.14|Nod1	200	182	240	250
ENSMUSG00000038059.7|Smim3	1828	1855	1742	1915
ENSMUSG00000038065.13|Mturn	273	332	297	330
ENSMUSG00000038067.2|Csf3	3041	2492	4864	5372
ENSMUSG00000038068.15|Rnf144b	67	64	88	82
ENSMUSG00000038069.6|Cdkn2aip	684	859	713	817
ENSMUSG00000038072.14|Galnt11	425	419	409	400
ENSMUSG00000038074.16|Fkbp14	184	220	161	194
ENSMUSG00000038079.14|Tmem237	536	600	492	562
ENSMUSG00000038080.17|Kdm1b	944	1065	914	961
ENSMUSG00000038084.16|Opa1	1806	2070	1826	1995
ENSMUSG00000038085.13|Cnbd2	54	71	109	103
ENSMUSG00000038094.15|Atp13a4	40	56	23	25
ENSMUSG00000038095.15|Sbno1	4914	5509	4939	5484
ENSMUSG00000038102.15|Trappc11	1304	1482	1366	1646
ENSMUSG00000038116.16|Phf20	1933	2201	1813	2014
ENSMUSG00000038119.15|Cdon	786	823	851	1019
ENSMUSG00000038121.6|Fam210a	2659	2916	2767	2991
ENSMUSG00000038122.9|Tbc1d32	342	359	418	447
ENSMUSG00000038126.17|Mphosph9	444	465	408	409
ENSMUSG00000038127.14|Ccdc50	2561	3104	3089	3307
ENSMUSG00000038141.11|Tmem181a	969	1289	941	1123
ENSMUSG00000038145.17|Snrk	417	409	489	565
ENSMUSG00000038150.7|Ormdl3	1530	1622	1276	1613
ENSMUSG00000038160.7|Atg5	693	787	807	798
ENSMUSG00000038167.6|Plekhg6	53	39	40	42
ENSMUSG00000038168.5|P3h2	49	36	57	78
ENSMUSG00000038170.15|Pde4dip	6213	6809	6929	7565
ENSMUSG00000038172.14|Ttc39b	1744	2185	2594	2868
ENSMUSG00000038174.14|Fam126b	610	781	556	601
ENSMUSG00000038178.16|Slc43a2	497	521	726	891
ENSMUSG00000038180.11|Spag4	39	54	50	41
ENSMUSG00000038181.16|Chpf2	430	460	388	489
ENSMUSG00000038187.14|Btbd10	1421	1686	1455	1547
ENSMUSG00000038205.12|Prkab2	367	372	394	415
ENSMUSG00000038206.13|Fbxo8	471	522	555	535
ENSMUSG00000038208.13|Pgap3	141	140	180	187
ENSMUSG00000038212.16|Mfsd14b	1090	1223	1088	1251
ENSMUSG00000038213.7|Tapbpl	533	576	802	929
ENSMUSG00000038214.15|Bend3	687	748	851	1017
ENSMUSG00000038215.15|Cep44	565	678	619	585
ENSMUSG00000038217.13|Tlcd2	112	97	116	128
ENSMUSG00000038225.15|Primpol	719	813	832	795
ENSMUSG00000038235.4|F11r	6836	7206	7066	8378
ENSMUSG00000038240.13|Pdss2	256	314	278	325
ENSMUSG00000038241.16|Cep250	1253	1295	1084	1215
ENSMUSG00000038244.14|Mical2	2176	2194	2803	2949
ENSMUSG00000038250.9|Usp38	959	1192	1043	1075
ENSMUSG00000038252.13|Ncapd2	2457	2620	2552	3043
ENSMUSG00000038253.6|Hoxa5	36	40	44	31
ENSMUSG00000038256.15|Bcl9	868	892	875	932
ENSMUSG00000038260.10|Trpm4	289	297	341	348
ENSMUSG00000038264.8|Sema7a	51	49	86	91
ENSMUSG00000038267.15|Slc22a23	1555	1727	1832	2168
ENSMUSG00000038268.4|Ovca2	393	489	401	416
ENSMUSG00000038274.13|Fau	7776	7615	8729	9386
ENSMUSG00000038279.10|Nop2	4025	4028	3848	4514
ENSMUSG00000038280.12|Ostm1	453	589	342	457
ENSMUSG00000038286.11|Bphl	359	414	519	506
ENSMUSG00000038290.15|Smg6	1050	1099	1327	1516
ENSMUSG00000038291.16|Snx25	414	478	451	489
ENSMUSG00000038295.14|Atg9b	473	531	375	445
ENSMUSG00000038299.16|Wdr36	3414	3834	4120	4449
ENSMUSG00000038301.15|Snx10	2718	3330	2954	3066
ENSMUSG00000038302.14|Afg1l	204	221	263	227
