symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000002948.19|Map2k7	1201	1405	1349	1569
ENSMUSG00000002949.15|Timm44	1293	1406	1405	1598
ENSMUSG00000002957.11|Ap2a2	2594	2827	2659	3200
ENSMUSG00000002963.17|Pnkp	810	772	811	851
ENSMUSG00000002968.9|Med25	1220	1435	1366	1441
ENSMUSG00000002980.14|Bcam	2067	2259	1897	2338
ENSMUSG00000002981.10|Clptm1	2831	3336	2630	3257
ENSMUSG00000002983.17|Relb	1186	1303	1429	1590
ENSMUSG00000002984.17|Tomm40	1289	1326	1275	1509
ENSMUSG00000002985.16|Apoe	32	27	18	19
ENSMUSG00000002992.17|Apoc2	167	192	408	441
ENSMUSG00000002996.17|Hbp1	2033	2301	2471	2798
ENSMUSG00000002997.15|Prkar2b	1291	1455	1398	1545
ENSMUSG00000003031.14|Cdkn1b	1973	2361	2524	2651
ENSMUSG00000003032.8|Klf4	3107	3781	3931	4478
ENSMUSG00000003033.15|Ap1m1	918	903	1008	1105
ENSMUSG00000003037.16|Rab8a	2048	2361	1830	2241
ENSMUSG00000003038.15|Hmgn2	3972	4913	4202	4594
ENSMUSG00000003039.9|Fam32a	1887	2023	1737	1941
ENSMUSG00000003051.13|Elf3	1769	1718	2677	2721
ENSMUSG00000003062.13|Stard3nl	1267	1274	1260	1443
ENSMUSG00000003068.16|Stk11	1296	1446	1152	1305
ENSMUSG00000003072.15|Atp5d	2090	2541	2096	2566
ENSMUSG00000003099.11|Ppp5c	1408	1638	1658	1895
ENSMUSG00000003119.14|Cdk12	1554	1711	1440	1728
ENSMUSG00000003123.15|Lipe	113	139	119	146
ENSMUSG00000003131.7|Pafah1b2	4695	5295	4266	4702
ENSMUSG00000003135.15|Cnot11	1054	1054	1162	1209
ENSMUSG00000003154.15|Foxj2	717	823	726	899
ENSMUSG00000003161.15|Sri	2098	2369	2796	2975
ENSMUSG00000003166.20|Dgcr2	2075	2167	2013	2517
ENSMUSG00000003184.15|Irf3	704	784	741	782
ENSMUSG00000003190.12|Bcl2l12	96	100	87	91
ENSMUSG00000003198.10|Zfp959	321	370	416	543
ENSMUSG00000003199.16|Mpnd	1440	1348	1969	2238
ENSMUSG00000003200.10|Sh3gl1	1952	2196	1989	2291
ENSMUSG00000003208.9|Yju2	211	256	257	317
ENSMUSG00000003226.7|Ranbp2	5187	5866	6348	6805
ENSMUSG00000003228.9|Grk5	82	90	103	96
ENSMUSG00000003233.12|Dvl3	656	772	642	680
ENSMUSG00000003234.16|Abcf3	958	1015	1055	1148
ENSMUSG00000003235.13|Eif2b5	1731	1874	1861	2177
ENSMUSG00000003269.17|Cyth2	1601	1658	1384	1635
ENSMUSG00000003271.17|Sult2b1	308	357	346	377
ENSMUSG00000003279.17|Dlgap1	45	61	62	77
ENSMUSG00000003282.9|Plag1	88	108	89	83
ENSMUSG00000003299.10|Mrpl4	913	980	982	1031
ENSMUSG00000003308.15|Keap1	739	815	784	894
ENSMUSG00000003316.14|Glg1	3762	3816	3907	4449
ENSMUSG00000003344.14|Btbd2	560	492	602	676
ENSMUSG00000003345.16|Csnk1g2	1603	1904	1314	1468
ENSMUSG00000003346.14|Abhd17a	284	354	229	250
ENSMUSG00000003348.10|Mob3a	631	680	558	679
ENSMUSG00000003352.14|Cacnb3	1373	1427	1081	1147
ENSMUSG00000003355.7|Fkbp11	976	911	1023	1306
ENSMUSG00000003360.15|Ddx23	2014	2202	1915	2178
ENSMUSG00000003363.15|Pld3	816	800	678	710
ENSMUSG00000003378.9|Grik5	697	730	654	770
ENSMUSG00000003380.11|Rabac1	578	628	492	637
ENSMUSG00000003382.18|Etv3	1843	1936	1827	2149
ENSMUSG00000003402.14|Prkcsh	4257	4327	4184	5164
ENSMUSG00000003411.10|Rab3b	87	92	71	82
ENSMUSG00000003420.8|Fcgrt	353	371	288	356
ENSMUSG00000003421.13|Nosip	537	585	587	684
ENSMUSG00000003423.15|Pih1d1	405	448	420	518
ENSMUSG00000003429.11|Rps11	13610	14717	15002	16745
ENSMUSG00000003435.9|Supt5	4916	4748	4679	5574
ENSMUSG00000003437.14|Paf1	673	759	571	626
ENSMUSG00000003438.17|Timm50	1190	1226	1074	1350
ENSMUSG00000003444.8|Med29	384	354	313	386
ENSMUSG00000003452.15|Bicd1	512	597	712	740
ENSMUSG00000003458.12|Ncstn	2864	3057	3163	3745
ENSMUSG00000003464.13|Pex19	1368	1326	1448	1584
ENSMUSG00000003500.13|Impdh1	1841	1790	1962	2288
ENSMUSG00000003518.13|Dusp3	1442	1716	1456	1772
ENSMUSG00000003526.12|Prodh	295	328	400	460
ENSMUSG00000003527.9|Ess2	459	501	359	446
ENSMUSG00000003528.15|Slc25a1	1592	1680	1872	2198
ENSMUSG00000003531.15|Dgcr6	532	498	478	549
ENSMUSG00000003534.17|Ddr1	3102	3208	2952	3503
ENSMUSG00000003541.6|Ier3	5314	5238	8814	9134
ENSMUSG00000003545.3|Fosb	86	103	71	88
ENSMUSG00000003546.10|Klc4	649	706	631	672
ENSMUSG00000003549.9|Ercc1	586	617	693	669
ENSMUSG00000003559.8|As3mt	188	229	226	229
ENSMUSG00000003573.15|Homer3	647	661	395	522
ENSMUSG00000003575.13|Crtc1	504	461	510	542
ENSMUSG00000003581.14|Rnf215	234	263	282	318
ENSMUSG00000003585.13|Sec14l2	68	68	71	90
ENSMUSG00000003604.14|Aven	333	363	430	479
