ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000035234.18|Abraxas1	Abraxas1	1.17453772541562	0.232093052554842	0.00543797788148401	0.0198698248153586	2.26456256320107
ENSMUSG00000035235.13|Trim13	Trim13	-1.04597205249566	-0.0648443044868041	0.605891769146788	0.718544738385503	-0.217604947220274
ENSMUSG00000035236.17|Scai	Scai	-1.32069107916101	-0.401293047445932	0.000316812594285489	0.00225694686351107	-3.49919756218364
ENSMUSG00000035239.6|Neu3	Neu3	-1.27674478169696	-0.352470162488508	0.199697569338772	0.319404507392168	-0.699627221204325
ENSMUSG00000035242.15|Oaz1	Oaz1	1.00318087786591	0.00458175358058632	0.938518557912679	0.964047338234702	0.0275571353821257
ENSMUSG00000035245.12|Eogt	Eogt	-1.09192910414242	-0.1268791892042	0.0812894455563704	0.160518306697108	-1.08996583859026
ENSMUSG00000035246.16|Pcyt1b	Pcyt1b	1.06550837914546	0.0915419385021923	0.511758665252169	0.636735925531122	0.290934794997961
ENSMUSG00000035247.16|Hectd1	Hectd1	-1.096535859459	-0.132952992511038	0.0165045197178594	0.0471532122581638	-1.78239710913544
ENSMUSG00000035248.9|Tut7	Tut7	-1.01881409101102	-0.0268908184851906	0.645060189862139	0.751523663675669	-0.19039975993
ENSMUSG00000035266.16|Helq	Helq	-1.24176733413631	-0.312394885851417	0.00184837442897201	0.00867207746165948	-2.7332100482864
ENSMUSG00000035268.14|Pkig	Pkig	-1.49210543758852	-0.577349485265726	0.00188770326770735	0.00882828188965089	-2.7240662723925
ENSMUSG00000035270.15|Impg2	Impg2	-1.22367462848072	-0.291220000612751	0.264934875667518	0.394689106955174	-0.576860868003289
ENSMUSG00000035273.14|Hpse	Hpse	1.11300689046333	0.154462524222107	0.0328030947806621	0.0802401974707203	1.48408518120415
ENSMUSG00000035274.13|Tpbg	Tpbg	-1.18730962708484	-0.247696210640966	0.014785475762733	0.0434294485534092	-1.83016469631167
ENSMUSG00000035278.9|Plekhj1	Plekhj1	-1.05382021798649	-0.0756287638039543	0.369568852383248	0.50324513256366	-0.432304638664345
ENSMUSG00000035284.10|Vps13c	Vps13c	1.10343168890141	0.141997318214098	0.0600593760253632	0.127467626208916	1.22141918412754
ENSMUSG00000035293.13|G2e3	G2e3	1.09348074041638	0.128927810280407	0.0980070330874276	0.184824894799597	1.00874275776196
ENSMUSG00000035297.14|Cops4	Cops4	1.03953116061694	0.0559330045587121	0.36276280895213	0.496700195512719	0.440377243923949
ENSMUSG00000035299.16|Mid1	Mid1	1.08448045192063	0.117004048241776	0.141621001936638	0.244805736672248	0.84887233740297
