ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000026563.13|Tada1	Tada1	1.56761772177762	0.648573787682878	8.5805635208529e-07	2.05809824393453e-06	6.06648418931209
ENSMUSG00000026565.18|Pou2f1	Pou2f1	-1.47528542776111	-0.560994103883477	1.6193344193979e-07	4.29482493853918e-07	-6.79066345297532
ENSMUSG00000026566.15|Mpzl1	Mpzl1	1.18316257217144	0.242648320466529	0.00288300191431483	0.00435772159505841	2.54015506923993
ENSMUSG00000026568.6|Mpc2	Mpc2	1.0115384349019	0.0165511382737629	0.866087173159489	0.882817544863159	0.0624383932981331
ENSMUSG00000026571.12|Dcaf6	Dcaf6	1.40761992673401	0.493257842613721	1.44896389561445e-07	3.8685351130857e-07	6.83894243587511
ENSMUSG00000026575.15|Nme7	Nme7	2.06754215148194	1.04791674226913	3.31031026037651e-12	1.92262932662055e-11	11.4801312998633
ENSMUSG00000026576.12|Atp1b1	Atp1b1	2.7923239732499	1.48146633677885	2.21327407860267e-20	9.93279547841323e-19	19.6549648023157
ENSMUSG00000026577.13|Blzf1	Blzf1	-1.67079714003782	-0.740536579103654	4.8189975134033e-09	1.60943899817286e-08	-8.31704329779414
ENSMUSG00000026578.6|Ccdc181	Ccdc181	1.51500625430163	0.599323749494474	7.87337188908078e-07	1.89580678931749e-06	6.10383923470541
ENSMUSG00000026579.8|F5	F5	3.88249358212038	1.9569835397959	9.29414197016637e-16	1.17407387869426e-14	15.0317906978579
ENSMUSG00000026580.16|Selp	Selp	-1.61274230366438	-0.689515932029463	6.97392959743134e-11	3.1831823853381e-10	-10.1565224411874
ENSMUSG00000026584.14|Scyl3	Scyl3	-1.69410164107483	-0.760520434691141	5.48725357156045e-10	2.15680208806682e-09	-9.26064497015112
ENSMUSG00000026585.13|Kifap3	Kifap3	-1.12056720370335	-0.164229174097899	0.0407988648929686	0.0528452400773541	-1.38935191969389
ENSMUSG00000026586.16|Prrx1	Prrx1	-7.75801281881281	-2.95568715968247	4.07223553000938e-08	1.17931456879469e-07	-7.3901671112152
ENSMUSG00000026589.14|Sec16b	Sec16b	1.04072828997301	0.0575934635706474	0.541196640888966	0.581335782351639	0.266644907654447
ENSMUSG00000026594.14|Ralgps2	Ralgps2	1.42608468862881	0.512059659367267	1.52533351822328e-08	4.69436616041512e-08	7.81663518629264
ENSMUSG00000026596.13|Abl2	Abl2	-2.34923207297347	-1.2321892395272	3.77969298635909e-17	6.67833800416138e-16	-16.4225434752276
ENSMUSG00000026600.12|Soat1	Soat1	1.47970930566272	0.565313780941516	6.31991309993041e-10	2.45368737684549e-09	9.19928889331258
ENSMUSG00000026601.14|Axdnd1	Axdnd1	1.21756837866432	0.284002796364934	0.320102713766843	0.358875940826776	0.494710643978426
ENSMUSG00000026603.13|Smyd2	Smyd2	-1.2594511513191	-0.332795167235828	3.81156891489042e-05	7.30867669794097e-05	-4.41889622358225
ENSMUSG00000026604.17|Ptpn14	Ptpn14	-1.46270470213747	-0.548638540656905	7.19022675610442e-08	2.00605856101294e-07	-7.14325741318151
ENSMUSG00000026605.14|Cenpf	Cenpf	2.32085958844606	1.21465924255306	3.25955646773996e-17	5.91358096933195e-16	16.4868414909498
ENSMUSG00000026608.13|Kctd3	Kctd3	-2.78031342506781	-1.47524752730241	8.81894963329506e-18	1.83130791243599e-16	-17.0545831377285
ENSMUSG00000026615.14|Eprs	Eprs	-2.89094695320172	-1.53154213664099	1.97417142986573e-20	9.00789993901611e-19	-19.7046151374759
ENSMUSG00000026617.16|Bpnt1	Bpnt1	1.1290363835424	0.175091978148483	0.0152259661556702	0.020946673913258	1.8174151398929
ENSMUSG00000026618.11|Iars2	Iars2	1.11218983761415	0.153403060012254	0.0215687263521582	0.0291089260681071	1.66617549952244
ENSMUSG00000026622.15|Nek2	Nek2	-1.02175627319492	-0.0310511009846302	0.664119122588899	0.698795094052163	-0.177754014543157
ENSMUSG00000026623.16|Lpgat1	Lpgat1	-1.89097830337408	-0.919132810250026	6.85356790177668e-14	5.54257420770239e-13	-13.1640832800914
ENSMUSG00000026626.11|Ppp2r5a	Ppp2r5a	1.09071661059815	0.125276310100595	0.0755459451667433	0.0940910470978527	1.12178884090758
ENSMUSG00000026627.7|Tmem206	Tmem206	-1.54953778677934	-0.631837936682414	8.2361802494739e-07	1.97875307169268e-06	-6.08427415737998
ENSMUSG00000026628.13|Atf3	Atf3	-13.8024120129194	-3.78684849921015	9.29384222668742e-25	2.22448928945082e-22	-24.0318047044266
ENSMUSG00000026632.17|Tatdn3	Tatdn3	1.19744510703004	0.259959521823085	0.0718961580159449	0.0897255107767596	1.14329431680844
ENSMUSG00000026634.16|Angel2	Angel2	-1.10804837356213	-0.148020865840905	0.0452505741152435	0.0582189346146989	-1.34437590632617
ENSMUSG00000026637.13|Traf5	Traf5	1.10935814885217	0.149725205136642	0.474680976204599	0.516268539410024	0.32359817315824
ENSMUSG00000026638.15|Irf6	Irf6	1.5503734334732	0.632615754680875	7.49569710565141e-08	2.08361441753061e-07	7.12518797121339
ENSMUSG00000026639.18|Lamb3	Lamb3	1.89129986941139	0.919378123633796	7.29471438097944e-14	5.86457208601665e-13	13.1369917079094
ENSMUSG00000026640.12|Plxna2	Plxna2	1.26105991873348	0.334636826344903	9.90097266356731e-05	0.000180852818381375	4.00432213856708
ENSMUSG00000026641.13|Usf1	Usf1	1.25215949190927	0.324418335059463	9.73908471115205e-05	0.000178110365568696	4.01148185663005
ENSMUSG00000026643.16|Nmt2	Nmt2	-1.51627582341176	-0.600532215826141	3.67478498222662e-10	1.49256003312051e-09	-9.43476806712792
ENSMUSG00000026646.16|Suv39h2	Suv39h2	-1.77724439465154	-0.829642084691296	5.89799778505164e-11	2.71570650629293e-10	-10.2292953948802
ENSMUSG00000026648.18|Dclre1c	Dclre1c	1.28810397507643	0.365249051738898	0.000441401586419712	0.00073637097621963	3.35516611029514
ENSMUSG00000026649.14|Cfap126	Cfap126	2.01864855590173	1.01338976119365	8.53283708014529e-06	1.78467667004165e-05	5.06890654639471
ENSMUSG00000026655.15|Fam107b	Fam107b	-2.4623312310576	-1.3000248451943	1.27871725902398e-17	2.54679409706046e-16	-16.8932254730509
ENSMUSG00000026657.16|Frmd4a	Frmd4a	-1.78688631141404	-0.837447847486962	2.81068196999611e-13	1.99407873721565e-12	-12.5511882922401
